sample,temp,humidity,alarm,sis
1,22.13,60.0,0,0
2,22.26,60.0,0,0
3,22.39,60.0,0,0
4,22.52,60.0,0,0
5,22.65,60.0,0,0
6,22.78,60.0,0,0
7,22.91,60.0,0,0
8,23.04,60.0,0,0
9,23.17,60.0,0,0
10,23.30,60.0,0,0
11,23.43,60.0,0,0
12,23.56,60.0,0,0
13,23.69,60.0,0,0
14,23.82,60.0,0,0
15,23.95,60.0,0,0
16,26.65,60.0,0,0
17,26.80,60.0,0,0
18,26.95,60.0,1,0
19,27.10,60.0,1,0
20,27.25,60.0,1,0
21,27.40,60.0,1,0
22,27.55,60.0,1,0
23,27.70,60.0,1,0
24,27.85,60.0,1,0
25,28.00,60.0,1,0
26,28.15,60.0,1,0
27,28.30,60.0,1,0
28,28.45,60.0,1,0
29,28.60,60.0,1,0
30,28.75,60.0,1,0
31,30.55,60.0,1,0
32,30.60,60.0,1,0
33,30.65,60.0,1,1
34,30.70,60.0,1,1
35,30.75,60.0,1,1
36,30.80,60.0,1,1
37,30.85,60.0,1,1
38,30.90,60.0,1,1
39,30.95,60.0,1,1
40,31.00,60.0,1,1
41,31.05,60.0,1,1
42,31.10,60.0,1,1
43,31.15,60.0,1,1
44,31.20,60.0,1,1
45,31.25,60.0,1,1
46,31.30,60.0,1,1
47,31.35,60.0,1,1
48,31.40,60.0,1,1
49,31.45,60.0,1,1
50,31.50,60.0,1,1
51,31.55,60.0,1,1
52,31.60,60.0,1,1
53,31.65,60.0,1,1
54,31.70,60.0,1,1
55,31.75,60.0,1,1
56,31.80,60.0,1,1
57,31.85,60.0,1,1
